7,58,53000000,7.7242758696
7,39,4500000,6.6532125138
1,20,15000,4.1760912591
35,141,220000000,8.3424226808
44,106,10000000,7
1,205,450000000,8.6532125138
1,63,200000000,8.3010299957
0,0,10000,4
10,0,10000,4
20,0,10000,4
30,0,10000,4
40,0,10000,4
50,0,10000,4
60,0,10000,4
70,0,10000,4
80,0,10000,4
90,0,10000,4
100,0,10000,4
100,10,10000,4
100,20,10000,4
100,30,10000,4
100,40,10000,4
100,50,10000,4
100,60,10000,4
100,70,10000,4
100,80,10000,4
100,90,10000,4
100,100,10000,4
100,110,10000,4
100,120,10000,4
100,130,10000,4
100,140,10000,4
100,150,10000,4
100,160,10000,4
100,170,10000,4
100,180,10000,4
100,190,10000,4
100,200,10000,4
100,210,10000,4
100,220,10000,4
100,230,10000,4
100,240,10000,4
100,250,10000,4
98,10,10000,4
90,10,10000,4
80,10,10000,4
1,10,10000,4
1,250,500000000,8.6989700043
2,240,480000000,8.6812412374
10.89,73,280704786,8.4482498174
25,110,5.00E+007,7.6989700043
